Subject,Indiv,Year,Month,DiveTime,DescentRate,AscentRate,MaxDepth,NumberRolls,TimeBetween,SurfaceTime,SN,RL
mn06_192a,Division,2006,Jul,249.6,1.113235294,0.714814815,32.93,2,91.2,91.2,0,88.6
mn06_192a,Division,2006,Jul,295.2,1.209765625,0.843888889,32.86,4,108.8,108.8,0,87.8
mn06_192a,Division,2006,Jul,138.4,1.074285714,0.906686047,33.11,1,33.6,33.6,0,85.6
mn06_192a,Division,2006,Jul,192,0.941875,1.03277027,30.61,3,32,32,1,92.2
mn06_192a,Division,2006,Jul,192,1.059722222,1.025,31.16,3,65.6,65.6,1,91.9
mn06_192a,Division,2006,Jul,212,1.099642857,0.95304878,31.36,4,74.4,74.4,0,85.1
mn06_192a,Division,2006,Jul,289.6,1.022972973,1.012171053,30.77,4,48,48,0,87.3
mn06_192a,Division,2006,Jul,196.8,1.036513158,1.0021875,32.16,3,65.6,65.6,0,85.7
mn06_192a,Division,2006,Jul,149.6,0.986858974,0.9515625,31.46,2,47.2,47.2,0,84.9
mn06_192a,Division,2006,Jul,240.8,0.991447368,0.9546875,30.76,5,65.6,65.6,0,90.6
mn06_192a,Division,2006,Jul,271.2,1.024652778,1.044097222,30.2,5,70.4,70.4,0,86.6
mn06_192a,Division,2006,Jul,171.2,1.040714286,0.92375,29.66,3,60.8,60.8,0,87.7
mn06_192a,Division,2006,Jul,160,0.963175676,0.909375,29.25,1,34.4,34.4,0,84.8
mn06_192a,Division,2006,Jul,283.2,0.866860465,0.919207317,30.19,5,82.4,82.4,0,83.8
mn06_192a,Division,2006,Jul,232,1.016891892,0.932926829,30.6,4,75.2,75.2,0,85.7
mn06_192a,Division,2006,Jul,192.8,0.956730769,0.9403125,30.09,2,71.2,71.2,0,86.3
mn06_192a,Division,2006,Jul,269.6,0.773958333,0.837222222,30.18,4,85.6,85.6,0,85.4
mn06_192a,Division,2006,Jul,284,0.863081395,0.894940476,30.07,6,78.4,78.4,0,87.7
mn06_192a,Division,2006,Jul,208.8,0.972697368,1.017013889,29.58,3,72.8,72.8,0,87.4
mn06_192a,Division,2006,Jul,337.6,0.906097561,1.041319444,29.99,7,95.2,95.2,1,89.1
mn06_192a,Division,2006,Jul,265.6,0.820380435,1.063194444,30.62,5,92,92,1,91.8
mn06_192a,Division,2006,Jul,324.8,0.80703125,1.091666667,31.47,7,100.8,100.8,1,95.6
mn06_192a,Division,2006,Jul,250.4,0.821614583,0.966463415,31.84,4,72,72,1,102.6
mn06_192a,Division,2006,Jul,260.8,0.778921569,0.991463415,32.52,5,90.4,90.4,1,97
mn06_192a,Division,2006,Jul,236,0.894021739,1.02625,33.19,3,93.6,93.6,1,94.7
mn06_192a,Division,2006,Jul,292.8,0.944186047,0.993292683,32.58,5,77.6,77.6,1,90
mn06_192a,Division,2006,Jul,275.2,1.045512821,0.881793478,32.81,5,72,72,1,88.7
mn06_192a,Division,2006,Jul,308,1.062837838,1.060197368,32.23,6,104,104,1,88.2
mn06_195a,Fulcrum,2006,Jul,172.8,1.288888889,0.973863636,28.93,3,29.6,29.6,0,87.6
mn06_195a,Fulcrum,2006,Jul,302.4,1.285714286,1.533522727,30.19,6,37.6,37.6,0,86
mn06_195a,Fulcrum,2006,Jul,164.8,1.466145833,1.448958333,29.31,4,27.2,27.2,0,86.3
mn06_195a,Fulcrum,2006,Jul,196.8,1.459375,1.508695652,28.93,5,24,24,0,85.1
mn06_195a,Fulcrum,2006,Jul,133.6,1.575,1.63625,29.01,3,16,16,0,85.6
mn06_195a,Fulcrum,2006,Jul,164.8,1.614285714,1.3745,28.56,4,36.8,36.8,0,86.6
