freq-max,Proportion acoustic event
23994,0
23908,173
23822,139
23736,145
23650,134
23564,146
23478,69
23392,118
23306,134
23220,140
23134,123
23048,111
22962,56
22876,99
22790,110
22704,119
22618,99
22532,116
22446,41
22360,91
22274,92
22188,95
22102,97
22016,106
21930,43
21844,87
21758,93
21672,108
21586,71
21500,125
21414,79
21328,34
21242,88
21156,96
21070,81
20984,80
20898,108
20812,45
20726,88
20640,99
20554,78
20468,88
20382,127
20296,45
20210,108
20124,78
20038,106
19952,127
19866,90
19780,42
19694,115
19608,101
19522,109
19436,103
19350,100
19264,42
19178,85
19092,99
19006,115
18920,105
18834,85
18748,55
18662,106
18576,92
18490,118
18404,117
18318,85
18232,59
18146,102
18060,105
17974,107
17888,105
17802,102
17716,69
17630,143
17544,124
17458,135
17372,101
17286,129
17200,55
17114,131
17028,117
16942,104
16856,100
16770,122
16684,69
16598,94
16512,136
16426,115
16340,91
16254,134
16168,61
16082,94
15996,153
15910,133
15824,109
15738,123
15652,77
15566,149
15480,139
15394,112
15308,130
15222,111
15136,73
15050,139
14964,150
14878,118
14792,131
14706,115
14620,65
14534,145
14448,107
14362,143
14276,143
14190,127
14104,66
14018,137
13932,115
13846,155
13760,144
13674,119
13588,73
13502,104
13416,127
13330,136
13244,158
13158,143
13072,72
12986,124
12900,128
12814,133
12728,143
12642,136
12556,49
12470,85
12384,116
12298,110
12212,115
12126,118
12040,56
11954,97
11868,128
11782,96
11696,112
11610,181
11524,72
11438,105
11352,86
11266,163
11180,142
11094,148
11008,51
10922,121
10836,157
10750,144
10664,151
10578,106
10492,127
10406,68
10320,135
10234,167
10148,146
10062,90
9976,109
9890,35
9804,109
9718,166
9632,161
9546,115
9460,50
9374,50
9288,144
9202,120
9116,105
9030,100
8944,118
8858,71
8772,93
8686,128
8600,87
8514,89
8428,115
8342,34
8256,169
8170,56
8084,67
7998,83
7912,83
7826,63
7740,159
7654,67
7568,199
7482,53
7396,103
7310,77
7224,70
7138,64
7052,134
6966,67
6880,60
6794,15
6708,145
6622,164
6536,78
6450,28
6364,34
6278,36
6192,128
6106,164
6020,86
5934,22
5848,0
5762,25
5676,251
5590,24
5504,8
5418,21
5332,16
5246,167
5160,133
5074,19
4988,69
4902,15
4816,162
4730,92
4644,41
4558,31
4472,91
4386,163
4300,42
4214,117
4128,100
4042,72
3956,27
3870,18
3784,290
3698,0
3612,38
3526,72
3440,7
3354,152
3268,129
3182,19
3096,147
3010,36
2924,75
2838,170
2752,129
2666,11
2580,30
2494,19
2408,57
2322,99
2236,45
2150,9
2064,34
1978,115
1892,188
1806,90
1720,10
1634,0
1548,69
1462,69
1376,3
1290,3
1204,6
1118,0
1032,29
946,35
860,49
774,191
688,33
602,5
516,272
430,3
344,27
258,4
172,1
86,0
23994,0
23908,154
23822,154
23736,140
23650,154
23564,146
23478,70
23392,111
23306,131
23220,124
23134,123
23048,123
22962,49
22876,112
22790,123
22704,104
22618,127
22532,112
22446,52
22360,94
22274,100
22188,88
22102,87
22016,106
21930,57
21844,96
21758,91
21672,99
21586,87
21500,118
21414,77
21328,45
21242,89
21156,83
21070,86
20984,84
20898,133
20812,44
20726,82
20640,101
20554,96
20468,92
20382,116
20296,49
20210,92
20124,104
20038,96
19952,123
19866,81
19780,37
19694,102
19608,115
19522,104
19436,94
19350,102
19264,41
19178,90
19092,93
19006,129
18920,106
18834,104
18748,59
18662,94
18576,104
18490,115
18404,135
18318,93
18232,53
18146,113
18060,86
17974,126
17888,103
17802,113
17716,72
17630,133
17544,122
17458,139
17372,105
17286,135
17200,48
17114,141
17028,106
16942,119
16856,99
16770,115
16684,64
16598,120
16512,129
16426,113
16340,111
16254,124
16168,66
16082,100
15996,154
15910,125
15824,119
15738,125
15652,72
15566,150
15480,141
15394,115
15308,142
15222,105
15136,61
15050,153
14964,142
14878,107
14792,149
14706,109
14620,64
14534,162
14448,115
14362,139
14276,150
14190,122
14104,77
14018,128
13932,109
13846,171
13760,146
13674,146
13588,58
13502,113
13416,126
13330,132
13244,160
13158,130
13072,57
12986,143
12900,123
12814,112
12728,138
12642,138
12556,38
12470,83
12384,129
12298,99
12212,109
12126,125
12040,61
11954,95
11868,138
11782,108
11696,108
11610,173
11524,84
11438,110
11352,95
11266,162
11180,159
11094,147
11008,46
10922,130
10836,167
10750,140
10664,147
10578,110
10492,126
10406,60
10320,133
10234,171
10148,153
10062,94
9976,99
9890,45
9804,115
9718,177
9632,167
9546,97
9460,36
9374,52
9288,135
9202,109
9116,120
9030,110
8944,129
8858,66
8772,89
8686,132
8600,74
8514,105
8428,123
8342,29
8256,166
8170,62
8084,68
7998,79
7912,88
7826,82
7740,135
7654,63
7568,210
7482,63
7396,88
7310,75
7224,70
7138,67
7052,143
6966,59
6880,63
6794,15
6708,125
6622,164
6536,75
6450,36
6364,39
6278,48
6192,114
6106,178
6020,80
5934,16
5848,2
5762,22
5676,249
5590,28
5504,3
5418,29
5332,23
5246,170
5160,125
5074,16
4988,62
4902,19
4816,158
4730,88
4644,46
4558,37
4472,82
4386,169
4300,53
4214,107
4128,92
4042,71
3956,20
3870,12
3784,290
3698,0
3612,51
3526,61
3440,8
3354,154
3268,120
3182,23
3096,142
3010,33
2924,77
2838,159
2752,129
2666,11
2580,45
2494,23
2408,44
2322,105
2236,42
2150,11
2064,33
1978,134
1892,189
1806,83
1720,13
1634,1
1548,63
1462,76
1376,3
1290,3
1204,4
1118,0
1032,29
946,27
860,26
774,187
688,31
602,0
516,284
430,0
344,22
258,14
172,2
86,0
23994,0
23908,155
23822,125
23736,168
23650,154
23564,119
23478,66
23392,110
23306,132
23220,132
23134,105
23048,114
22962,54
22876,96
22790,93
22704,103
22618,106
22532,112
22446,50
22360,100
22274,91
22188,108
22102,111
22016,103
21930,40
21844,81
21758,95
21672,90
21586,87
21500,116
21414,75
21328,37
21242,114
21156,82
21070,82
20984,93
20898,103
20812,43
20726,89
20640,89
20554,91
20468,87
20382,105
20296,52
